Rank,Country (or dependent territory),Population,Date,"% of worldpopulation",Source
218,Monaco,36950,12/31/13,0.00%,Annual official estimate
138,Mongolia,2978997,10/24/14,0.04%,Official population clock
167,Montenegro,620029,4/1/11,0.01%,Final 2011 census result
39,Morocco,33414900,10/24/14,0.46%,Official population clock
49,Mozambique,25041922,7/1/14,0.35%,Annual official projection
25,Myanmar,51419420,3/29/14,0.71%,Preliminary 2014 census result
143,Namibia,2113077,8/28/11,0.03%,Final 2011 census result
230,Nauru,10084,10/30/11,0.00%,2011 census result
46,Nepal,26494504,6/22/11,0.37%,Final 2011 census result
64,Netherlands,16873600,10/24/14,0.23%,Official population clock
124,New Zealand,4536140,10/24/14,0.06%,Official population clock
111,Nicaragua,6146400,2013,0.09%,Official estimate
63,Niger,17138707,12/10/12,0.24%,Preliminary 2012 census result
7,Nigeria,178517000,7/1/14,2.48%,UN projection[6]
50,North Korea,25027000,7/1/14,0.35%,UN projection
,Northern Cyprus,294906,4/30/06,0.00%,Official census
118,Norway,5137679,7/1/14,0.07%,Quarterly official estimate
129,Oman,4071147,10/22/14,0.06%,Weekly official estimate
6,Pakistan,188020000,7/1/14,2.61%,Official annual projection
225,Palau,20901,7/1/13,0.00%,Annual official estimate
131,Panama,3713312,2014,0.05%,Official estimate
99,Papua New Guinea,7398500,7/1/13,0.10%,Annual official estimate
104,Paraguay,6893727,2014,0.10%,Official estimate
40,Peru,30814175,7/1/14,0.43%,Official annual projection
12,Philippines,100440100,10/24/14,1.40%,Official population clock
34,Poland,38496000,12/31/13,0.53%,Official estimate
84,Portugal,10477800,12/31/13,0.15%,Annual official estimate
142,Qatar,2187326,9/30/14,0.03%,Monthly official estimate
59,Romania,19942642,1/1/14,0.28%,Annual official estimate
9,Russian Federation,146149200,8/1/14,2.03%,Official estimate
77,Rwanda,10996891,7/1/14,0.15%,Official annual projection
189,S«úo Tom«∏ and Pr«ncipe,187356,5/13/12,0.00%,2012 census result
212,Saint Kitts and Nevis,55000,7/1/14,0.00%,UN projection
190,Saint Lucia,184000,7/1/14,0.00%,UN projection
193,Saint Vincent and the Grenadines,109000,7/1/14,0.00%,UN projection
188,Samoa,187820,11/7/11,0.00%,Final 2011 census result
219,San Marino,32727,8/31/14,0.00%,Monthly official estimate
41,Saudi Arabia,30770375,7/1/14,0.43%,Official annual projection
71,Senegal,13508715,11/19/13,0.19%,2013 census result
102,Serbia,7146759,1/1/14,0.10%,Annual official estimate
201,Seychelles,89949,7/1/13,0.00%,Annual official estimate
110,Sierra Leone,6205000,7/1/14,0.09%,UN projection
115,Singapore,5469700,7/1/14,0.08%,Official estimate
117,Slovakia,5415949,12/31/13,0.08%,Official estimate
146,Slovenia,2064394,10/24/14,0.03%,Official population clock
170,Solomon Islands,581344,7/1/13,0.01%,Annual official estimate
80,Somalia,10806000,7/1/14,0.15%,UN projection
24,South Africa,54002000,7/1/14,0.75%,Official estimate
26,South Korea,50423955,7/1/14,0.70%,Official projection
,South Ossetia,51547,1/1/13,0.00%,Estimate
74,South Sudan,11384393,7/1/14,0.16%,Official annual projection
29,Spain,46507800,1/1/14,0.63%,Annual official estimate
58,Sri Lanka,20277597,3/21/12,0.28%,Preliminary 2012 census result
35,Sudan,37289406,7/1/14,0.52%,Official annual projection
172,Suriname,534189,8/13/12,0.01%,Preliminary 2012 census result
159,Swaziland,1106189,7/1/14,0.02%,Official projection
89,Sweden,9716962,8/31/14,0.14%,Monthly official estimate
97,Switzerland,8183800,6/30/14,0.11%,Quarterly provisional figure
55,Syrian Arab Republic,21987000,7/1/14,0.31%,UN projection[13]
53,Taiwan,23410280,9/30/14,0.33%,Monthly official estimate
98,Tajikistan,8161000,1/1/14,0.11%,Official estimate
28,Tanzania,47421786,7/1/14,0.66%,Official Projection
21,Thailand,64871000,7/1/14,0.90%,Official estimate
158,Timor-Leste,1212107,7/1/14,0.02%,Official estimate
103,Togo,6993000,7/1/14,0.10%,UN projection
197,Tonga,103252,11/30/11,0.00%,2011 census result
,Transnistria,505153,1/1/14,0.01%,Official estimate
154,Trinidad and Tobago,1328019,1/9/11,0.02%,2011 census result
79,Tunisia,10982754,4/23/14,0.15%,Preliminary 2014 census result
18,Turkey,76667864,12/31/13,1.07%,Annual official estimate
112,Turkmenistan,5824960,10/24/14,0.08%,Official population clock
229,Tuvalu,11323,7/1/13,0.00%,Annual official estimate
36,Uganda,36600000,7/1/14,0.51%,Annual official estimate
30,Ukraine,42981850,8/1/14,0.60%,Monthly official estimate
93,United Arab Emirates,9446000,7/1/14,0.13%,UN projection
22,United Kingdom,64105654,7/1/13,0.89%,Annual official estimate
3,United States,318964000,10/24/14,4.43%,Official population clock
135,Uruguay,3404189,6/30/14,0.05%,Annual official estimate
42,Uzbekistan,30492800,1/1/14,0.42%,Official estimate
184,Vanuatu,264652,7/1/13,0.00%,Annual official estimate
241,Vatican City,839,7/1/12,0.00%,Official estimate
44,Venezuela,30206307,6/30/14,0.42%,Official annual projection
13,Viet Nam,89708900,7/1/13,1.25%,Official estimate
169,Western Sahara,586000,7/1/14,0.01%,UN projection
48,Yemen,25956000,7/1/14,0.36%,Official estimate
70,Zambia,15023315,7/1/14,0.21%,Official estimate
73,Zimbabwe,13061239,8/17/12,0.18%,2012 Census Result
